@relation 'chwilowki-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-9,first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5'

@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie {1,0,2,3,4,5,6}
@attribute kwota_kredytu numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {k,m}
@attribute okres_pobieral_dochod numeric
@attribute okres_bedzie_pobieral_dochod numeric
@attribute status_pozyczki {dobra,zla}

@data
13,1193.65,0,400,'\'(55.2-67.6]\'',m,6,48,dobra
12,2000,2,200,'\'(42.8-55.2]\'',k,32,48,dobra
11,2000,0,800,'\'(42.8-55.2]\'',m,48,48,dobra
13,803.86,1,200,'\'(67.6-inf)\'',k,155,48,dobra
13,1412,1,400,'\'(67.6-inf)\'',k,201,48,dobra
98,5000,0,600,'\'(30.4-42.8]\'',k,81,48,dobra
11,1000,1,275.97,'\'(30.4-42.8]\'',k,58,48,dobra
16,1045,0,200,'\'(42.8-55.2]\'',m,196,48,dobra
17,1896,1,500,'\'(-inf-30.4]\'',m,31,33,dobra
11,1200,1,300,'\'(30.4-42.8]\'',k,187,48,dobra
12,1500,0,900,'\'(30.4-42.8]\'',m,30,35,dobra
13,1425,1,200,'\'(55.2-67.6]\'',k,76,48,dobra
16,2300,1,200,'\'(42.8-55.2]\'',k,60,48,dobra
11,2800,1,400,'\'(42.8-55.2]\'',k,57,48,dobra
12,1600,1,498.47,'\'(30.4-42.8]\'',k,11,11,dobra
13,1674.77,0,200,'\'(55.2-67.6]\'',m,66,48,zla
13,995,0,300,'\'(42.8-55.2]\'',m,168,48,zla
11,2011,0,500,'\'(42.8-55.2]\'',m,208,48,dobra
12,1574.45,0,450,'\'(42.8-55.2]\'',m,28,35,dobra
16,634.64,0,200,'\'(42.8-55.2]\'',k,19,48,zla
11,1261.98,1,400,'\'(30.4-42.8]\'',m,33,48,dobra
13,1149.06,0,400,'\'(55.2-67.6]\'',k,158,48,dobra
16,1313.41,1,400,'\'(55.2-67.6]\'',m,25,48,dobra
13,1200.29,1,200,'\'(55.2-67.6]\'',k,19,48,dobra
11,1300,1,326.61,'\'(30.4-42.8]\'',m,42,48,dobra
13,985.9,0,200,'\'(55.2-67.6]\'',k,87,48,dobra
12,660,1,400,'\'(30.4-42.8]\'',k,9,38,dobra
17,540.62,0,300,'\'(-inf-30.4]\'',m,3,20,zla
16,755.1,0,200,'\'(55.2-67.6]\'',k,131,48,dobra
13,1079.14,0,300,'\'(67.6-inf)\'',m,115,48,zla
13,1591,1,381.29,'\'(55.2-67.6]\'',m,73,48,dobra
13,1162,1,200,'\'(55.2-67.6]\'',m,218,48,dobra
11,1600,1,400,'\'(42.8-55.2]\'',m,265,48,zla
12,700,1,250,'\'(30.4-42.8]\'',m,6,23,dobra
11,1250,1,400,'\'(55.2-67.6]\'',m,103,48,zla
11,2249.14,1,500,'\'(55.2-67.6]\'',k,238,48,dobra
13,1517,0,400,'\'(67.6-inf)\'',k,132,48,zla
13,1013.74,1,400,'\'(55.2-67.6]\'',k,110,48,dobra
11,1500,0,400,'\'(55.2-67.6]\'',k,82,48,dobra
12,1675,1,600,'\'(42.8-55.2]\'',k,6,11,dobra
13,5100,1,700,'\'(55.2-67.6]\'',k,25,48,dobra
11,3500,0,1000,'\'(30.4-42.8]\'',k,238,48,zla
11,1617.68,0,200,'\'(42.8-55.2]\'',k,82,48,dobra
16,2300,2,1000,'\'(42.8-55.2]\'',k,60,48,dobra
13,601.03,0,300,'\'(42.8-55.2]\'',k,302,48,zla
13,1233,0,400,'\'(55.2-67.6]\'',k,120,48,dobra
13,940.49,0,400,'\'(67.6-inf)\'',m,258,48,zla
13,1768.93,1,500,'\'(55.2-67.6]\'',m,266,48,dobra
11,3170,1,400,'\'(42.8-55.2]\'',k,282,48,dobra
11,1037.34,0,300,'\'(-inf-30.4]\'',m,31,48,zla
11,1239.05,1,400,'\'(30.4-42.8]\'',k,201,48,dobra
12,2000,1,396.61,'\'(42.8-55.2]\'',k,6,26,dobra
13,814.83,1,300,'\'(42.8-55.2]\'',m,154,48,zla
13,832.92,0,200,'\'(55.2-67.6]\'',k,136,48,zla
13,951,1,500,'\'(67.6-inf)\'',k,159,48,dobra
12,1350,1,281.29,'\'(42.8-55.2]\'',k,19,24,dobra
11,1065,1,650,'\'(30.4-42.8]\'',k,56,48,zla
11,2600,0,650,'\'(55.2-67.6]\'',m,132,48,zla
11,1800,1,600,'\'(42.8-55.2]\'',m,123,48,dobra
11,1037,0,200,'\'(-inf-30.4]\'',m,33,48,zla
16,633.56,1,250,'\'(55.2-67.6]\'',m,108,48,dobra
12,1037,0,200,'\'(30.4-42.8]\'',k,1,3,zla
13,910.33,1,200,'\'(67.6-inf)\'',m,160,48,dobra
13,856,1,200,'\'(55.2-67.6]\'',k,54,48,dobra
12,1500,1,371.94,'\'(42.8-55.2]\'',k,6,7,dobra
11,1300,1,700,'\'(-inf-30.4]\'',k,7,48,zla
11,1554.24,0,500,'\'(42.8-55.2]\'',m,150,48,zla
12,1800,1,800,'\'(-inf-30.4]\'',m,5,10,zla
13,713.78,0,200,'\'(55.2-67.6]\'',k,26,48,zla
13,965,1,200,'\'(67.6-inf)\'',k,242,48,dobra
11,2600,0,400,'\'(55.2-67.6]\'',m,132,48,dobra
13,1239,1,300,'\'(67.6-inf)\'',k,267,48,dobra
16,1389,0,300,'\'(55.2-67.6]\'',k,88,48,dobra
13,984,0,200,'\'(55.2-67.6]\'',k,8,48,dobra
12,830.46,0,600,'\'(42.8-55.2]\'',k,42,48,dobra
16,1340,1,500,'\'(55.2-67.6]\'',k,158,48,dobra
13,640,1,500,'\'(67.6-inf)\'',k,136,48,dobra
13,616,1,200,'\'(67.6-inf)\'',k,243,48,dobra
12,1009.34,0,300,'\'(42.8-55.2]\'',k,26,48,dobra
16,703,1,200,'\'(55.2-67.6]\'',k,23,48,dobra
11,1200,0,500,'\'(42.8-55.2]\'',k,25,48,zla
13,1426,1,300,'\'(67.6-inf)\'',m,74,48,dobra
12,1300,1,417.53,'\'(-inf-30.4]\'',m,6,26,dobra
11,2700,0,300,'\'(30.4-42.8]\'',m,6,48,dobra
11,1700,1,300,'\'(42.8-55.2]\'',m,36,48,dobra
13,1500,1,300,'\'(55.2-67.6]\'',k,43,48,dobra
17,684,1,900,'\'(55.2-67.6]\'',k,187,48,dobra
11,2505,1,202.73,'\'(30.4-42.8]\'',k,161,48,dobra
98,3000,1,1500,'\'(55.2-67.6]\'',m,66,48,dobra
11,1300,1,600,'\'(42.8-55.2]\'',k,65,48,dobra
12,1000,2,200,'\'(-inf-30.4]\'',m,9,25,dobra
13,1000,1,500,'\'(55.2-67.6]\'',k,65,48,dobra
11,1000,1,800,'\'(55.2-67.6]\'',m,60,48,dobra
13,2421.55,1,1000,'\'(67.6-inf)\'',k,242,48,dobra
11,1172.2,1,400,'\'(55.2-67.6]\'',k,34,48,dobra
11,1290,1,600,'\'(30.4-42.8]\'',k,16,48,dobra
11,2200,0,900,'\'(30.4-42.8]\'',k,34,48,dobra
16,921.58,0,200,'\'(55.2-67.6]\'',k,18,48,zla
13,997,1,300,'\'(55.2-67.6]\'',k,76,48,dobra
16,1279.58,0,400,'\'(55.2-67.6]\'',k,158,48,zla
13,962,1,500,'\'(55.2-67.6]\'',k,62,48,dobra
13,810,2,300,'\'(55.2-67.6]\'',k,30,48,dobra
12,600,2,400,'\'(42.8-55.2]\'',m,6,27,dobra
11,1680,1,300,'\'(55.2-67.6]\'',k,382,48,dobra
12,611.36,1,400,'\'(55.2-67.6]\'',m,0,3,dobra
13,1189,1,265.58,'\'(55.2-67.6]\'',k,67,48,dobra
13,1212,1,500,'\'(55.2-67.6]\'',k,51,48,dobra
13,1137.19,1,400,'\'(55.2-67.6]\'',k,93,48,dobra
13,744.07,0,300,'\'(55.2-67.6]\'',k,10,48,dobra
11,2100,0,300,'\'(42.8-55.2]\'',m,47,48,dobra
13,1130,1,300,'\'(55.2-67.6]\'',k,100,48,dobra
11,1510,1,900,'\'(55.2-67.6]\'',m,163,48,dobra
13,802.83,1,200,'\'(55.2-67.6]\'',k,198,48,dobra
16,655,1,500,'\'(42.8-55.2]\'',k,28,48,dobra
13,1684,1,300,'\'(55.2-67.6]\'',k,17,48,dobra
13,3600,0,1000,'\'(55.2-67.6]\'',m,83,48,dobra
13,1428.55,1,235.97,'\'(55.2-67.6]\'',k,134,48,dobra
12,990.34,0,200,'\'(42.8-55.2]\'',k,53,48,dobra
11,5800,1,1000,'\'(42.8-55.2]\'',k,51,48,dobra
13,1601.87,0,350,'\'(55.2-67.6]\'',m,42,48,dobra
11,1400,1,200,'\'(42.8-55.2]\'',m,11,48,dobra
12,1210,0,200,'\'(42.8-55.2]\'',m,4,9,dobra
13,940,1,300,'\'(67.6-inf)\'',m,50,48,dobra
17,1031,0,350,'\'(42.8-55.2]\'',k,48,48,dobra
13,2612,0,1800,'\'(67.6-inf)\'',m,79,48,dobra
11,1800,1,300,'\'(30.4-42.8]\'',m,162,48,dobra
16,634,0,200,'\'(55.2-67.6]\'',k,48,48,dobra
13,1474.55,0,400,'\'(55.2-67.6]\'',k,62,48,dobra
99,1393.85,0,200,'\'(-inf-30.4]\'',m,2,2,dobra
13,1100,0,300,'\'(55.2-67.6]\'',k,40,48,dobra
13,930,2,300,'\'(55.2-67.6]\'',k,128,48,dobra
13,1100,1,300,'\'(55.2-67.6]\'',k,102,48,dobra
11,2800,1,600,'\'(42.8-55.2]\'',k,316,48,dobra
11,2500,1,769.94,'\'(42.8-55.2]\'',m,201,48,dobra
13,1700,1,500,'\'(67.6-inf)\'',m,11,48,dobra
12,988,1,200,'\'(42.8-55.2]\'',m,6,12,dobra
13,1062,0,400,'\'(55.2-67.6]\'',k,159,48,dobra
13,1503,1,400,'\'(55.2-67.6]\'',m,163,48,dobra
11,1300,1,400,'\'(42.8-55.2]\'',k,31,48,dobra
12,1200,1,300,'\'(30.4-42.8]\'',k,6,14,dobra
13,2098,1,700,'\'(67.6-inf)\'',m,194,48,dobra
13,2291,2,1000,'\'(67.6-inf)\'',k,68,48,dobra
16,837,0,300,'\'(55.2-67.6]\'',m,228,48,dobra
12,1040,0,250,'\'(30.4-42.8]\'',k,0,0,zla
13,730,0,200,'\'(67.6-inf)\'',k,558,48,dobra
12,1100,0,300,'\'(42.8-55.2]\'',k,12,29,zla
11,1700,1,500,'\'(42.8-55.2]\'',k,303,48,dobra
11,2031,1,2000,'\'(55.2-67.6]\'',m,111,48,zla
13,1442.43,2,200,'\'(67.6-inf)\'',k,138,48,dobra
11,1360,2,200,'\'(42.8-55.2]\'',m,117,48,dobra
12,1050,0,300,'\'(42.8-55.2]\'',k,31,36,dobra
16,892,0,500,'\'(55.2-67.6]\'',k,198,48,dobra
12,1500,1,1130.33,'\'(42.8-55.2]\'',k,11,26,dobra
13,850,1,400,'\'(55.2-67.6]\'',k,64,48,dobra
12,2500,0,800,'\'(55.2-67.6]\'',m,2,3,dobra
13,1350,0,300,'\'(55.2-67.6]\'',k,108,48,dobra
11,1900,1,903.23,'\'(30.4-42.8]\'',k,176,48,dobra
11,3200,1,700,'\'(42.8-55.2]\'',m,186,48,dobra
11,2100,0,700,'\'(-inf-30.4]\'',k,20,48,dobra
17,547.89,0,200,'\'(55.2-67.6]\'',k,53,48,dobra
17,443.65,0,600,'\'(-inf-30.4]\'',m,10,35,zla
11,3000,0,700,'\'(42.8-55.2]\'',m,1,48,zla
16,1411,1,400,'\'(55.2-67.6]\'',k,63,48,dobra
12,1800,1,700,'\'(-inf-30.4]\'',m,8,8,dobra
13,1210,0,300,'\'(55.2-67.6]\'',k,135,48,dobra
12,1447,2,500,'\'(-inf-30.4]\'',k,19,24,dobra
11,1515.11,0,300,'\'(30.4-42.8]\'',k,11,48,zla
12,1037.34,0,300,'\'(-inf-30.4]\'',m,17,24,dobra
13,785,1,200,'\'(67.6-inf)\'',k,61,48,dobra
99,980,2,449.7,'\'(-inf-30.4]\'',m,9,10,dobra
11,1320,1,500,'\'(42.8-55.2]\'',m,339,48,dobra
16,959.6,1,200,'\'(67.6-inf)\'',k,112,48,dobra
11,1700,1,600,'\'(42.8-55.2]\'',k,86,48,dobra
13,3900,2,300,'\'(42.8-55.2]\'',m,27,48,dobra
13,720.19,0,200,'\'(55.2-67.6]\'',k,90,48,dobra
99,750,1,300,'\'(-inf-30.4]\'',m,1,5,dobra
13,1425,1,500,'\'(55.2-67.6]\'',k,17,48,zla
11,1077.49,1,300,'\'(42.8-55.2]\'',k,369,48,dobra
99,2800,2,200,'\'(30.4-42.8]\'',k,7,7,zla
11,4000,2,600,'\'(42.8-55.2]\'',m,7,48,dobra
13,2010,0,700,'\'(55.2-67.6]\'',m,135,48,dobra
11,2258,2,1000,'\'(30.4-42.8]\'',m,72,48,dobra
17,985,2,200,'\'(-inf-30.4]\'',m,10,11,dobra
13,1668,2,392.14,'\'(55.2-67.6]\'',k,88,48,dobra
11,1050,1,441.91,'\'(42.8-55.2]\'',k,15,48,zla
13,1672.59,0,200,'\'(55.2-67.6]\'',m,19,48,dobra
13,12220,0,200,'\'(55.2-67.6]\'',m,68,48,dobra
16,588,2,600,'\'(42.8-55.2]\'',m,419,48,dobra
13,611,0,300,'\'(55.2-67.6]\'',k,136,48,dobra
13,1065,1,230,'\'(55.2-67.6]\'',k,19,48,dobra
13,1261.6,1,400,'\'(55.2-67.6]\'',m,50,48,dobra
11,1200,0,1000,'\'(30.4-42.8]\'',m,24,48,zla
13,1454.91,1,400,'\'(55.2-67.6]\'',k,39,48,dobra
12,1634,0,300,'\'(-inf-30.4]\'',k,9,9,dobra
13,1900,0,1000,'\'(67.6-inf)\'',k,252,48,zla
11,2700,2,500,'\'(30.4-42.8]\'',m,12,48,dobra
11,1680,2,799.84,'\'(55.2-67.6]\'',k,67,48,dobra
12,1400,0,300,'\'(-inf-30.4]\'',m,9,32,dobra
12,1037,0,200,'\'(30.4-42.8]\'',k,8,13,zla
13,1072,2,432.44,'\'(67.6-inf)\'',k,150,48,dobra
16,763.38,1,200,'\'(55.2-67.6]\'',m,208,48,dobra
16,1045.6,2,500,'\'(42.8-55.2]\'',k,9,48,dobra
11,1888.27,1,400,'\'(-inf-30.4]\'',m,74,48,dobra
11,2927,0,500,'\'(30.4-42.8]\'',k,198,48,dobra
11,1842.86,0,400,'\'(55.2-67.6]\'',m,5,48,dobra
13,3100,0,600,'\'(55.2-67.6]\'',m,135,48,dobra
13,1688.82,0,300,'\'(42.8-55.2]\'',m,96,48,dobra
13,1240,2,300,'\'(55.2-67.6]\'',k,67,48,dobra
12,900,2,400,'\'(-inf-30.4]\'',m,15,20,dobra
11,1400,2,300,'\'(42.8-55.2]\'',k,22,48,dobra
13,1026,2,200,'\'(67.6-inf)\'',k,244,48,dobra
11,1700,2,281.29,'\'(42.8-55.2]\'',k,202,48,dobra
11,3000,2,300,'\'(55.2-67.6]\'',m,209,48,dobra
11,763,1,300,'\'(42.8-55.2]\'',k,90,48,dobra
99,645.31,0,400,'\'(42.8-55.2]\'',k,8,12,dobra
13,729.03,2,300,'\'(67.6-inf)\'',k,254,48,dobra
13,1090.14,1,400,'\'(55.2-67.6]\'',k,72,48,dobra
11,2458,0,600,'\'(55.2-67.6]\'',m,144,48,dobra
13,714,2,200,'\'(55.2-67.6]\'',k,219,48,dobra
16,1389,1,200,'\'(55.2-67.6]\'',k,88,48,dobra
13,1291.18,2,381.29,'\'(67.6-inf)\'',k,76,48,dobra
12,1952.35,1,400,'\'(42.8-55.2]\'',m,1,11,dobra
17,607.95,0,300,'\'(55.2-67.6]\'',m,210,48,zla
13,1370,1,900,'\'(55.2-67.6]\'',k,73,48,dobra
13,665.92,2,300,'\'(55.2-67.6]\'',k,122,48,zla
11,1226,0,300,'\'(-inf-30.4]\'',m,2,48,zla
13,1170,0,400,'\'(55.2-67.6]\'',k,75,48,dobra
11,1187.06,1,400,'\'(55.2-67.6]\'',k,130,48,dobra
17,990,2,400,'\'(42.8-55.2]\'',k,69,48,dobra
11,2080,2,500,'\'(42.8-55.2]\'',m,315,48,dobra
12,1700,2,400,'\'(42.8-55.2]\'',k,52,48,dobra
11,1373.34,0,200,'\'(-inf-30.4]\'',k,55,48,dobra
17,1200,2,200,'\'(-inf-30.4]\'',k,162,48,dobra
11,2400,1,600,'\'(30.4-42.8]\'',k,110,48,dobra
17,1485,1,500,'\'(55.2-67.6]\'',m,140,48,dobra
12,1136.86,0,200,'\'(-inf-30.4]\'',m,9,24,dobra
